model,condition,domain,pred_len,mse_mean,mse_std,n_seeds
aurora,C3_shuffled,SocialGood,6,0.7034112215042114,0.002240444010197825,3
aurora,C3_shuffled,SocialGood,8,0.8028043905893961,0.005120334904076366,3
aurora,C3_shuffled,SocialGood,10,0.8828877806663513,0.003030543949210786,3
aurora,C3_shuffled,SocialGood,12,0.9517015814781189,0.004715554745599299,3
aurora,C3_shuffled,Traffic,6,0.15490488211313883,0.0007704959725891554,3
aurora,C3_shuffled,Traffic,8,0.15895125766595206,0.0009173514254293547,3
aurora,C3_shuffled,Traffic,10,0.16317380964756012,0.0010476245509668317,3
aurora,C3_shuffled,Traffic,12,0.1687419911225637,0.00016234649992105237,3
aurora,C4_crossdomain,Agriculture,6,0.18154840668042502,0.003495796806673183,3
aurora,C4_crossdomain,Agriculture,8,0.23944170276323953,0.0015676509588679046,3
aurora,C4_crossdomain,Agriculture,10,0.30773602922757465,0.0077226381959376415,3
aurora,C4_crossdomain,Agriculture,12,0.37250787019729614,0.007729188914360581,3
aurora,C4_crossdomain,Climate,6,0.8579664627710978,0.004845681148176374,3
aurora,C4_crossdomain,Climate,8,0.8630041082700094,0.0020568970746027574,3
aurora,C4_crossdomain,Climate,10,0.8653249144554138,0.0010254406421082048,3
aurora,C4_crossdomain,Climate,12,0.8735954364140829,0.0007723515507436179,3
aurora,C4_crossdomain,Economy,6,0.036302449802557625,0.0019224807540257974,3
aurora,C4_crossdomain,Economy,8,0.033734407275915146,0.0008623083656909393,3
aurora,C4_crossdomain,Economy,10,0.03136757450799147,0.000743930848938507,3
aurora,C4_crossdomain,Economy,12,0.032562486827373505,0.0006161170670051866,3
aurora,C4_crossdomain,Energy,12,0.11812504380941391,0.0014578360248854835,3
aurora,C4_crossdomain,Energy,24,0.22520101567109427,0.0016611162343312233,3
aurora,C4_crossdomain,Energy,36,0.29145283500353497,0.0004394399886415677,3
aurora,C4_crossdomain,Energy,48,0.3847258388996124,0.0017729161793094206,3
aurora,C4_crossdomain,Environment,48,0.28044193983078003,0.00017524313705250148,3
aurora,C4_crossdomain,Environment,96,0.2844415307044983,9.434792561475025e-05,3
aurora,C4_crossdomain,Environment,192,0.2702874739964803,4.0301229255773646e-05,3
aurora,C4_crossdomain,Environment,336,0.2690462072690328,5.1328946860768096e-05,3
aurora,C4_crossdomain,Health,12,1.0926261345545452,0.0031374675350340315,3
aurora,C4_crossdomain,Health,24,1.5685170491536458,0.0011114818024408526,3
aurora,C4_crossdomain,Health,36,1.6894091367721558,0.00531468855759812,3
aurora,C4_crossdomain,Health,48,1.8565643231074016,0.0028133002333376217,3
aurora,C4_crossdomain,Security,6,67.43832143147786,0.08990129810225377,3
aurora,C4_crossdomain,Security,8,70.77917226155598,0.3301764775264779,3
aurora,C4_crossdomain,Security,10,74.9078369140625,0.9550133424576778,3
aurora,C4_crossdomain,Security,12,77.7372817993164,0.13826106228533153,3
aurora,C4_crossdomain,SocialGood,6,0.7069279750188192,0.002143424299234885,3
aurora,C4_crossdomain,SocialGood,8,0.8063564499219259,0.004629371761666525,3
aurora,C4_crossdomain,SocialGood,10,0.8860539197921753,0.002338316611817519,3
aurora,C4_crossdomain,SocialGood,12,0.9546512961387634,0.00422630097870995,3
aurora,C4_crossdomain,Traffic,6,0.15396529932816824,0.0007077449237036398,3
aurora,C4_crossdomain,Traffic,8,0.15812073151270548,0.0007140102472069867,3
aurora,C4_crossdomain,Traffic,10,0.16255261500676474,0.0009078659986834336,3
aurora,C4_crossdomain,Traffic,12,0.1682336082061132,0.00029843218368096866,3
aurora,C5_constant,Agriculture,6,0.1830988973379135,0.003379813727234368,3
aurora,C5_constant,Agriculture,8,0.2411865790685018,0.0018295645062279791,3
aurora,C5_constant,Agriculture,10,0.3093076248963674,0.007412188662332427,3
