model,backbone,condition,n_pairs,mean_diff,ci_lo,ci_hi,p_two,rel_diff,ref_mean
tats,DLinear,C9_zero_priors,108,6.157268868052159,4.843389424126319,7.592972137328426,0.0001,0.4957225782664354,12.420795699046856
tats,Informer,C2_empty,108,1.0717536703579955,0.6523854638553329,1.5429168457717253,0.0001,0.07555545229780905,14.184994434730875
tats,Informer,C3_shuffled,108,0.0010864516651188886,0.00024553685000649214,0.002100703972219317,0.0068,7.659161729798036e-05,14.184994434730875
tats,Informer,C4_crossdomain,108,0.001040102431067714,-5.037609349798265e-05,0.0023807162315481237,0.0644,7.332413388341575e-05,14.184994434730875
tats,Informer,C5_constant,108,1.0706396852102544,0.6517489288174722,1.5418273554287023,0.0001,0.07547691965171836,14.184994434730875
tats,Informer,C6_unimodal,108,1.1957116463670023,0.7158696072210593,1.741807397748171,0.0001,0.08429412164162671,14.184994434730875
tats,Informer,C8_oracle,108,0.0003713670152205008,-0.0010862569945553936,0.001897887989050812,0.6284,2.6180272183345876e-05,14.184994434730875
tats,Informer,C9_zero_priors,108,1.0719262280121997,0.6524848309242063,1.543379791777719,0.0001,0.07556761710019923,14.184994434730875
tats,iTransformer,C2_empty,108,5.169351954771964,3.772588174466122,6.66971611525816,0.0001,0.3881926969905327,13.316458539399147
tats,iTransformer,C3_shuffled,108,-5.375050629178683e-06,-2.7915737936618136e-05,1.263276143516931e-05,0.6364,-4.0363964737889025e-07,13.316458539399147
tats,iTransformer,C4_crossdomain,108,-5.345136203147747e-06,-2.789819608787418e-05,1.2666091788560151e-05,0.6382,-4.0139322232958535e-07,13.316458539399147
tats,iTransformer,C5_constant,108,5.169352658058482,3.7725791220469147,6.669729421992519,0.0001,0.3881927498038626,13.316458539399147
tats,iTransformer,C6_unimodal,108,0.15069151584369442,0.02453616190404223,0.29822272301880054,0.0196,0.011316185560736465,13.316458539399147
tats,iTransformer,C8_oracle,108,-5.345136203147747e-06,-2.789819608787418e-05,1.2666091788560151e-05,0.6382,-4.0139322232958535e-07,13.316458539399147
tats,iTransformer,C9_zero_priors,108,5.169351954771964,3.772588174466122,6.66971611525816,0.0001,0.3881926969905327,13.316458539399147
