model,condition,domain,pred_len,mean,std,cv,n_backbones
mmtsflib,C5_constant,Economy,6,0.39151994056171846,0.4767127687925179,1.2175951194428878,3
mmtsflib,C6_unimodal,Economy,12,0.5513871719853746,0.6713655811372705,1.217593762147006,3
mmtsflib,C3_shuffled,Economy,6,0.2904926223887338,0.35294261941272176,1.2149796318765649,3
mmtsflib,C9_zero_priors,Economy,6,0.37816785255240076,0.458024831867048,1.21116807992975,3
mmtsflib,C6_unimodal,Economy,10,0.4671649775571293,0.5576711184574792,1.1937348586651746,3
mmtsflib,C4_crossdomain,Economy,8,0.33885037919713396,0.40440747592834597,1.1934691555799402,3
mmtsflib,C3_shuffled,Economy,8,0.33034060440129703,0.3936735251291895,1.1917200607012144,3
mmtsflib,C2_empty,Economy,8,0.3782579832606845,0.45049645353207785,1.190976723475017,3
mmtsflib,C5_constant,Economy,8,0.3766207655684816,0.44826741739561904,1.1902355323371296,3
mmtsflib,C8_oracle,Economy,8,0.33050916571584016,0.39291889549486064,1.1888290439505635,3
mmtsflib,C1_original,Economy,8,0.3153542536828253,0.3715817064149778,1.1782993318641088,3
tats,C6_unimodal,Economy,6,0.4363436446421676,0.5136077335923676,1.177071649602143,3
tats,C8_oracle,Economy,10,0.13603692481087315,0.15985091018510375,1.175055305074988,3
tats,C1_original,Economy,10,0.13602213199353883,0.1598300614545104,1.1750298213389456,3
tats,C3_shuffled,Economy,10,0.1360156246357494,0.15982085160490636,1.175018326261468,3
tats,C4_crossdomain,Economy,10,0.13600395681957406,0.1598043924577782,1.1749981117812502,3
tats,C3_shuffled,Economy,12,0.14702728256169292,0.17266733881609558,1.174389785403563,3
tats,C4_crossdomain,Economy,12,0.14699547851665154,0.1726224860518335,1.174338746972268,3
tats,C1_original,Economy,12,0.14698808536761335,0.17261205625514908,1.1743268566527065,3
tats,C8_oracle,Economy,12,0.14697494140515724,0.17259352054932947,1.1743057619159105,3
mmtsflib,C9_zero_priors,Economy,8,0.34499820942680043,0.40354465616616,1.1697007263795134,3
tats,C6_unimodal,Economy,8,0.48246194877558285,0.5635484952158782,1.1680682728370209,3
mmtsflib,C6_unimodal,Economy,6,0.3917610758087701,0.4516227632911665,1.152801519035078,3
mmtsflib,C6_unimodal,Economy,8,0.41588160147269565,0.46730414752231264,1.123647080966127,3
tats,C5_constant,Economy,8,0.3895242725395494,0.435412019670583,1.1178045897675721,3
tats,C9_zero_priors,Economy,8,0.38903084500796264,0.43471764533224033,1.1174374754869183,3
tats,C2_empty,Economy,8,0.38903084500796264,0.43471764533224033,1.1174374754869183,3
tats,C1_original,Economy,8,0.1206134794693854,0.13108703912563463,1.0868357309840122,3
tats,C8_oracle,Economy,8,0.12048168490744299,0.13090184083238357,1.0864874684724537,3
tats,C4_crossdomain,Economy,8,0.12046047393232584,0.13087203704127892,1.086431364322892,3
tats,C3_shuffled,Economy,8,0.12027472609447108,0.13061104038943258,1.0859392046076475,3
tats,C8_oracle,Economy,6,0.10489057190716267,0.11165198967749057,1.064461635086825,3
tats,C3_shuffled,Economy,6,0.10488230548799038,0.1116403781268791,1.064434821559701,3
tats,C4_crossdomain,Economy,6,0.10480390013092095,0.11153025545049387,1.064180391294316,3
tats,C1_original,Economy,6,0.10478590553005536,0.11150497916383709,1.0641219217393174,3
tats,C5_constant,Economy,6,0.32240589087208116,0.3294991142202081,1.0220009111153037,3
tats,C2_empty,Economy,6,0.3221481459008323,0.3291383708610973,1.0216987899797407,3
tats,C9_zero_priors,Economy,6,0.3221481459008323,0.3291383708610973,1.0216987899797407,3
tats,C5_constant,Traffic,6,3.978842240240839,3.651859985458492,0.9178197488014618,3
tats,C9_zero_priors,Traffic,6,3.9788883907927404,3.651812481376245,0.9177971641091119,3
tats,C2_empty,Traffic,6,3.9788883907927404,3.651812481376245,0.9177971641091119,3
tats,C2_empty,Traffic,8,4.187197181913588,3.6816987302233968,0.8792752216509724,3
tats,C9_zero_priors,Traffic,8,4.187197181913588,3.6816987302233968,0.8792752216509724,3
tats,C5_constant,Traffic,8,4.187229240934054,3.681664211374603,0.8792602457450661,3
tats,C5_constant,Traffic,10,4.383523787061374,3.793439369553528,0.8653858297177335,3
tats,C9_zero_priors,Traffic,10,4.38355715572834,3.7934028943649976,0.8653709212865762,3
tats,C2_empty,Traffic,10,4.383570685982704,3.793388104552381,0.8653648763284363,3
tats,C9_zero_priors,Climate,12,3.2797518968582153,2.829986428037234,0.8628660084770965,3
tats,C5_constant,Climate,10,3.378961748547024,2.9155859098138324,0.8628644319716119,3
tats,C2_empty,Climate,12,3.2797862887382507,2.829958495725597,0.8628484439497719,3
tats,C9_zero_priors,Climate,10,3.3791153960757785,2.915463511489049,0.8627889757404626,3
tats,C2_empty,Climate,10,3.3791514370176525,2.915434809051863,0.8627712795331087,3
tats,C5_constant,Climate,12,3.280081881417168,2.829718413727699,0.8626974923275731,3
tats,C5_constant,Climate,6,3.2763327227698436,2.7813769932207566,0.848929955706499,3
