model,backbone,condition,seed,domain,pred_len,success,mse,mae,wall_s,host
tats,DLinear,C2_empty,2023,Climate,12,True,7.289997577667236,2.475741147994995,18.88209711100353,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Climate,10,True,7.56387186050415,2.5352835655212402,19.304162665997865,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Traffic,12,True,8.923271179199219,2.9342219829559326,19.88706075400114,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Security,6,True,111.33135986328125,4.964762210845947,19.420140564994654,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Environment,48,True,0.5966076850891113,0.5808925032615662,71.3767245880008,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Economy,10,True,0.08604113012552261,0.23890969157218933,19.48267242399743,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Energy,48,True,3.012296199798584,1.603600263595581,22.359692195001116,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Traffic,6,True,9.102049827575684,2.9696156978607178,19.17070622999745,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Security,10,True,117.140625,5.287434101104736,19.261517152990564,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Agriculture,6,True,24.529451370239258,4.941943645477295,18.85144187699916,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Environment,336,True,0.5144355297088623,0.5240516662597656,100.77011293100077,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Health,48,True,2.77022647857666,1.154815912246704,22.08161398700031,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Energy,12,True,2.7608730792999268,1.5807660818099976,23.88387245299964,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Environment,96,True,0.48386940360069275,0.49123892188072205,100.26606712900684,ip-172-31-41-203
tats,DLinear,C2_empty,2023,SocialGood,8,True,3.832624912261963,1.657589316368103,20.60271901199303,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Agriculture,12,True,25.719106674194336,5.0502848625183105,19.221209679999447,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Health,12,True,3.0490481853485107,1.192518949508667,22.80693313801021,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Traffic,10,True,9.489298820495605,3.0370309352874756,20.33389971499855,ip-172-31-41-203
tats,DLinear,C2_empty,2023,SocialGood,10,True,4.382566928863525,1.8097054958343506,19.692717854006332,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Economy,12,True,0.12055981159210205,0.2808865010738373,19.550071108998964,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Health,24,True,2.79263973236084,1.1172176599502563,24.646798350004246,ip-172-31-41-203
tats,DLinear,C2_empty,2023,Traffic,8,True,8.520103454589844,2.8716089725494385,20.247191898000892,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Climate,8,True,7.140824317932129,2.4550411701202393,19.517951711000933,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Economy,8,True,0.125702366232872,0.30128365755081177,19.25601131300209,ip-172-31-41-203
tats,DLinear,C2_empty,2022,SocialGood,12,True,4.168877601623535,1.7379748821258545,19.526365042998805,ip-172-31-41-203
tats,DLinear,C2_empty,2022,SocialGood,6,True,4.055389881134033,1.730724573135376,20.71826921700267,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Energy,36,True,3.012387990951538,1.6290416717529297,21.141437363003206,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Health,36,True,2.7061994075775146,1.1224905252456665,22.48115603699989,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Agriculture,10,True,25.659704208374023,5.04803466796875,19.37642547800351,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Climate,6,True,7.122725963592529,2.448322296142578,20.077234901997144,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Economy,6,True,0.17592184245586395,0.3562582731246948,19.428125759004615,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Environment,192,True,0.3870539665222168,0.4279455840587616,109.83430841799418,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Agriculture,8,True,24.571231842041016,4.944404602050781,19.068625248997705,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Security,12,True,117.87393188476562,5.317300796508789,18.635636259998137,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Security,8,True,114.04456329345703,5.12111759185791,17.90793174999999,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Energy,24,True,2.823390245437622,1.5835505723953247,20.615056894996087,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Climate,12,True,7.22003173828125,2.4644887447357178,19.23945308099792,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Climate,10,True,7.4516706466674805,2.5123066902160645,19.252940332000435,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Traffic,12,True,8.910387992858887,2.93471360206604,19.60441658500349,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Security,6,True,111.109619140625,4.94982385635376,17.637346875999356,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Environment,48,True,0.5942957997322083,0.5790476202964783,89.9075959260008,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Economy,10,True,0.1103544682264328,0.266979455947876,18.778609355998924,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Energy,48,True,3.072078227996826,1.6229649782180786,20.41280260700296,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Traffic,6,True,8.794614791870117,2.9159533977508545,19.959738022000238,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Security,10,True,116.94776916503906,5.274435520172119,18.73094819599646,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Agriculture,6,True,24.159475326538086,4.9030914306640625,20.743502575001912,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Environment,336,True,0.5192650556564331,0.5255929231643677,99.66671092199977,ip-172-31-41-203
tats,DLinear,C2_empty,2022,Health,48,True,2.808142900466919,1.1661406755447388,20.97044749199995,ip-172-31-41-203
