model,backbone,condition,seed,domain,pred_len,mse,mae,wall_s
mmtsflib,Crossformer,C9_zero_priors,2023,Climate,6,1.1086701154708862,0.8239961266517639,68.69867928799067
mmtsflib,Crossformer,C9_zero_priors,2023,Climate,8,1.150375485420227,0.8547251224517822,75.2201051620068
mmtsflib,Crossformer,C9_zero_priors,2023,Climate,10,1.204468011856079,0.8707517385482788,65.14920645102393
mmtsflib,Crossformer,C9_zero_priors,2023,Climate,12,1.200242519378662,0.8617329597473145,51.849770898988936
mmtsflib,Crossformer,C9_zero_priors,2023,Economy,6,0.94816654920578,0.9501201510429382,29.85464207601035
mmtsflib,Crossformer,C9_zero_priors,2023,Economy,8,0.9713869094848633,0.9598435163497925,34.13377357798163
mmtsflib,Crossformer,C9_zero_priors,2023,Economy,10,0.9936121106147766,0.9500905275344849,34.67279260302894
mmtsflib,Crossformer,C9_zero_priors,2023,Economy,12,0.9966567158699036,0.9213039875030518,30.429800374011393
mmtsflib,Crossformer,C9_zero_priors,2023,Energy,12,0.16654889285564423,0.29367172718048096,164.44694986497052
mmtsflib,Crossformer,C9_zero_priors,2023,Energy,24,0.2617248594760895,0.38888248801231384,225.1678122250014
mmtsflib,Crossformer,C9_zero_priors,2023,Energy,36,0.4082775115966797,0.4920860826969147,145.32277037200402
mmtsflib,Crossformer,C9_zero_priors,2023,Energy,48,0.5388686060905457,0.5780413746833801,100.94222348601033
mmtsflib,Crossformer,C9_zero_priors,2023,Environment,48,0.5114996433258057,0.5352259874343872,1068.22862618597
mmtsflib,Crossformer,C9_zero_priors,2023,Environment,96,0.5697256922721863,0.5826868414878845,645.4627521120128
mmtsflib,Crossformer,C9_zero_priors,2023,Environment,192,0.6548346877098083,0.6288427710533142,1343.537765068002
mmtsflib,Crossformer,C9_zero_priors,2023,Environment,336,0.587977409362793,0.5972617864608765,612.6551435210276
mmtsflib,Crossformer,C9_zero_priors,2023,Health,12,1.1363428831100464,0.712465763092041,159.9845112990006
mmtsflib,Crossformer,C9_zero_priors,2023,Health,24,1.3519742488861084,0.7677295207977295,135.89384879700083
mmtsflib,Crossformer,C9_zero_priors,2023,Health,36,1.3894890546798706,0.7640817761421204,137.22558682004455
mmtsflib,Crossformer,C9_zero_priors,2023,Health,48,1.5410521030426025,0.8190094828605652,195.72914136201143
mmtsflib,Crossformer,C9_zero_priors,2023,Security,6,127.3665771484375,6.2128729820251465,63.02732878399547
mmtsflib,Crossformer,C9_zero_priors,2023,Security,8,126.86576080322266,6.250944137573242,67.75519304101181
mmtsflib,Crossformer,C9_zero_priors,2023,Security,10,130.107177734375,6.536459445953369,55.25775314500788
mmtsflib,Crossformer,C9_zero_priors,2023,Security,12,129.75120544433594,6.5428290367126465,54.446650316996966
mmtsflib,Crossformer,C9_zero_priors,2023,SocialGood,6,0.7940413951873779,0.463969886302948,77.32306813000469
mmtsflib,Crossformer,C9_zero_priors,2023,SocialGood,8,0.9078601002693176,0.5531512498855591,60.81138153496431
mmtsflib,Crossformer,C9_zero_priors,2023,SocialGood,10,0.915455162525177,0.5098490118980408,56.145988514996134
mmtsflib,Crossformer,C9_zero_priors,2023,SocialGood,12,0.9508564472198486,0.5243963003158569,97.46350939299737
mmtsflib,Crossformer,C9_zero_priors,2023,Traffic,6,0.2526233196258545,0.41333281993865967,159.322561931971
mmtsflib,Crossformer,C9_zero_priors,2023,Traffic,8,0.21544821560382843,0.3544202148914337,184.5180194620043
mmtsflib,Crossformer,C9_zero_priors,2023,Traffic,10,0.23323684930801392,0.37689274549484253,131.35354714500136
mmtsflib,Crossformer,C9_zero_priors,2023,Traffic,12,0.25082412362098694,0.3756931722164154,129.3573197730002
mmtsflib,DLinear,C10_empty_keep_priors,2021,Agriculture,6,0.0824839249253273,0.21787135303020477,18.738407588971313
mmtsflib,DLinear,C10_empty_keep_priors,2021,Agriculture,8,0.24122455716133118,0.3814868927001953,19.551782099995762
mmtsflib,DLinear,C10_empty_keep_priors,2021,Agriculture,10,0.15054360032081604,0.26363706588745117,43.71901112300111
mmtsflib,DLinear,C10_empty_keep_priors,2021,Agriculture,12,0.17954440414905548,0.29432007670402527,25.76149093103595
mmtsflib,DLinear,C10_empty_keep_priors,2021,Climate,6,1.2099300622940063,0.9007325768470764,47.5172145809629
mmtsflib,DLinear,C10_empty_keep_priors,2021,Climate,8,1.269757628440857,0.9049485921859741,37.2072330910014
mmtsflib,DLinear,C10_empty_keep_priors,2021,Climate,10,1.203424334526062,0.8942834734916687,34.99974270904204
mmtsflib,DLinear,C10_empty_keep_priors,2021,Climate,12,1.2066229581832886,0.8916332125663757,43.43345578701701
mmtsflib,DLinear,C10_empty_keep_priors,2021,Economy,6,0.04925761744379997,0.1838865429162979,22.526055993977934
mmtsflib,DLinear,C10_empty_keep_priors,2021,Economy,8,0.14526906609535217,0.3282187879085541,27.980750366987195
mmtsflib,DLinear,C10_empty_keep_priors,2021,Economy,10,0.0513601079583168,0.17906509339809418,31.422603480983526
mmtsflib,DLinear,C10_empty_keep_priors,2021,Economy,12,0.05324475094676018,0.18584048748016357,24.264774495968595
mmtsflib,DLinear,C10_empty_keep_priors,2021,Energy,12,0.2214909940958023,0.3499733507633209,49.24037585500628
mmtsflib,DLinear,C10_empty_keep_priors,2021,Energy,24,0.3561887741088867,0.4532226324081421,28.32932547200471
mmtsflib,DLinear,C10_empty_keep_priors,2021,Energy,36,0.38294732570648193,0.4576922655105591,53.13377405400388
mmtsflib,DLinear,C10_empty_keep_priors,2021,Energy,48,0.5007091760635376,0.5308136940002441,53.659230306046084
mmtsflib,DLinear,C10_empty_keep_priors,2021,Environment,48,0.46475160121917725,0.5291684865951538,207.92277319100685
mmtsflib,DLinear,C10_empty_keep_priors,2021,Environment,96,0.5429258346557617,0.5980858206748962,248.11586881399853
mmtsflib,DLinear,C10_empty_keep_priors,2021,Environment,192,0.6046239733695984,0.662358820438385,105.58196315402165
mmtsflib,DLinear,C10_empty_keep_priors,2021,Environment,336,0.5474225282669067,0.6106774210929871,103.34229659003904
mmtsflib,DLinear,C10_empty_keep_priors,2021,Health,12,1.613171100616455,0.8226222991943359,47.10916813003132
mmtsflib,DLinear,C10_empty_keep_priors,2021,Health,24,1.693261981010437,0.8719494938850403,49.52729043900035
mmtsflib,DLinear,C10_empty_keep_priors,2021,Health,36,1.6869827508926392,0.8647591471672058,51.437985230993945
mmtsflib,DLinear,C10_empty_keep_priors,2021,Health,48,1.7728421688079834,0.921446681022644,46.53623870300362
mmtsflib,DLinear,C10_empty_keep_priors,2021,Security,6,104.35574340820312,5.036690711975098,36.643320809991565
mmtsflib,DLinear,C10_empty_keep_priors,2021,Security,8,109.20845031738281,5.254617691040039,35.16109507402871
mmtsflib,DLinear,C10_empty_keep_priors,2021,Security,10,111.39981842041016,5.391471862792969,36.971850112022366
mmtsflib,DLinear,C10_empty_keep_priors,2021,Security,12,113.0744857788086,5.445979595184326,35.490722841001116
mmtsflib,DLinear,C10_empty_keep_priors,2021,SocialGood,6,0.9935160279273987,0.5815809369087219,30.110871081007645
mmtsflib,DLinear,C10_empty_keep_priors,2021,SocialGood,8,1.0320854187011719,0.5008310079574585,30.779444465995766
mmtsflib,DLinear,C10_empty_keep_priors,2021,SocialGood,10,1.0518532991409302,0.5519372820854187,45.27904627501266
mmtsflib,DLinear,C10_empty_keep_priors,2021,SocialGood,12,1.2018563747406006,0.637366533279419,24.986218716017902
mmtsflib,DLinear,C10_empty_keep_priors,2021,Traffic,6,0.2849726676940918,0.39485353231430054,38.91501323803095
mmtsflib,DLinear,C10_empty_keep_priors,2021,Traffic,8,0.3603534400463104,0.4920750856399536,29.86906335502863
mmtsflib,DLinear,C10_empty_keep_priors,2021,Traffic,10,0.2653789818286896,0.40063270926475525,33.45158570999047
mmtsflib,DLinear,C10_empty_keep_priors,2021,Traffic,12,0.29762914776802063,0.408113956451416,39.07902310299687
mmtsflib,DLinear,C10_empty_keep_priors,2022,Agriculture,6,0.11627651005983353,0.26850056648254395,37.523640379018616
mmtsflib,DLinear,C10_empty_keep_priors,2022,Agriculture,8,0.09563358873128891,0.2165980339050293,23.644338181999046
mmtsflib,DLinear,C10_empty_keep_priors,2022,Agriculture,10,0.19485075771808624,0.31290072202682495,30.78699101699749
mmtsflib,DLinear,C10_empty_keep_priors,2022,Agriculture,12,0.1703331470489502,0.2929091453552246,23.33839899901068
mmtsflib,DLinear,C10_empty_keep_priors,2022,Climate,6,1.2511576414108276,0.9119154810905457,31.592962923983578
mmtsflib,DLinear,C10_empty_keep_priors,2022,Climate,8,1.2082602977752686,0.9003968238830566,22.214312040014192
