model,backbone,condition,seed,domain,pred_len,mse,mae,wall_s
tats,Autoformer,C10_empty_keep_priors,2023,Climate,10,0.9822984933853149,0.7814040184020996,31.265498395994655
tats,Autoformer,C10_empty_keep_priors,2023,Climate,12,0.94732266664505,0.7638087868690491,30.214339319994906
tats,Autoformer,C10_empty_keep_priors,2023,Economy,6,0.039841894060373306,0.16203367710113525,31.097907719988143
tats,Autoformer,C10_empty_keep_priors,2023,Economy,8,0.04073283076286316,0.1620553582906723,30.267300854000496
tats,Autoformer,C10_empty_keep_priors,2023,Economy,10,0.04298827424645424,0.17017032206058502,31.8562504510046
tats,Autoformer,C10_empty_keep_priors,2023,Economy,12,0.04357080161571503,0.1639455109834671,30.963691270007985
tats,Autoformer,C10_empty_keep_priors,2023,Energy,12,0.32010617852211,0.43184033036231995,58.09185069100931
tats,Autoformer,C10_empty_keep_priors,2023,Energy,24,0.3932364284992218,0.48548248410224915,54.10251259399229
tats,Autoformer,C10_empty_keep_priors,2023,Energy,36,0.48450469970703125,0.5475118160247803,53.37795061300858
tats,Autoformer,C10_empty_keep_priors,2023,Energy,48,0.5429045557975769,0.5892033576965332,50.86192464901251
tats,Autoformer,C10_empty_keep_priors,2023,Environment,48,0.31368550658226013,0.39113345742225647,416.0602606799948
tats,Autoformer,C10_empty_keep_priors,2023,Environment,96,0.322133332490921,0.42594313621520996,523.7591564809991
tats,Autoformer,C10_empty_keep_priors,2023,Environment,192,0.3449024558067322,0.4390081763267517,444.294461226993
tats,Autoformer,C10_empty_keep_priors,2023,Environment,336,0.2774077355861664,0.40480780601501465,636.4750024120003
tats,Autoformer,C10_empty_keep_priors,2023,Health,12,1.3708730936050415,0.823477566242218,56.95216575599625
tats,Autoformer,C10_empty_keep_priors,2023,Health,24,1.5321214199066162,0.8824584484100342,48.63029425499553
tats,Autoformer,C10_empty_keep_priors,2023,Health,36,1.6898260116577148,0.934860348701477,45.68860249398858
tats,Autoformer,C10_empty_keep_priors,2023,Health,48,1.606131911277771,0.9070075750350952,46.57640116600669
tats,Autoformer,C10_empty_keep_priors,2023,Security,6,105.29407501220703,4.604204177856445,28.107333820997155
tats,Autoformer,C10_empty_keep_priors,2023,Security,8,107.12310791015625,4.7176055908203125,28.891475803000503
tats,Autoformer,C10_empty_keep_priors,2023,Security,10,108.6637954711914,4.754019260406494,26.67297933799273
tats,Autoformer,C10_empty_keep_priors,2023,Security,12,109.2143783569336,4.78288459777832,27.53054899799463
tats,Autoformer,C10_empty_keep_priors,2023,SocialGood,6,1.1514359712600708,0.6606399416923523,38.98868128299364
tats,Autoformer,C10_empty_keep_priors,2023,SocialGood,8,1.3976701498031616,0.8018671870231628,41.25059554100153
tats,Autoformer,C10_empty_keep_priors,2023,SocialGood,10,1.0210437774658203,0.557072639465332,35.194710280993604
tats,Autoformer,C10_empty_keep_priors,2023,SocialGood,12,1.2391817569732666,0.689845085144043,38.69229502999224
tats,Autoformer,C10_empty_keep_priors,2023,Traffic,6,0.1960276961326599,0.2972158193588257,32.53255167600582
tats,Autoformer,C10_empty_keep_priors,2023,Traffic,8,0.17057031393051147,0.25886964797973633,34.04909659299301
tats,Autoformer,C10_empty_keep_priors,2023,Traffic,10,0.191318079829216,0.2796854078769684,31.0374730409967
tats,Autoformer,C10_empty_keep_priors,2023,Traffic,12,0.22633041441440582,0.28042110800743103,35.16353137099941
tats,Autoformer,C11_constant_keep_priors,2021,Agriculture,6,0.11134298890829086,0.24035745859146118,30.191476883002906
tats,Autoformer,C11_constant_keep_priors,2021,Agriculture,8,0.11800907552242279,0.2653323709964752,31.706208545001573
tats,Autoformer,C11_constant_keep_priors,2021,Agriculture,10,0.14238396286964417,0.2843101918697357,29.054761552994023
tats,Autoformer,C11_constant_keep_priors,2021,Agriculture,12,0.16869015991687775,0.3082040250301361,31.379818694011192
tats,Autoformer,C11_constant_keep_priors,2021,Climate,6,0.9981476664543152,0.7917003035545349,31.639379677013494
tats,Autoformer,C11_constant_keep_priors,2021,Climate,8,0.9668803215026855,0.7739959955215454,30.50709289300721
tats,Autoformer,C11_constant_keep_priors,2021,Climate,10,1.02133309841156,0.7983853220939636,33.208592420007335
tats,Autoformer,C11_constant_keep_priors,2021,Climate,12,0.9627609848976135,0.7829325795173645,32.235930444003316
tats,Autoformer,C11_constant_keep_priors,2021,Economy,6,0.0338265597820282,0.14692014455795288,31.509500475003733
tats,Autoformer,C11_constant_keep_priors,2021,Economy,8,0.04109994322061539,0.16305240988731384,29.457150510992506
tats,Autoformer,C11_constant_keep_priors,2021,Economy,10,0.03477343171834946,0.1467852145433426,31.395788941998035
tats,Autoformer,C11_constant_keep_priors,2021,Economy,12,0.030262889340519905,0.13911540806293488,29.169386337001924
tats,Autoformer,C11_constant_keep_priors,2021,Energy,12,0.17372743785381317,0.31779223680496216,50.36161721400276
tats,Autoformer,C11_constant_keep_priors,2021,Energy,24,0.401123046875,0.5006739497184753,51.99844664199918
