model,backbone,condition,seed,domain,pred_len,mse,mae,wall_s
aurora,default,C10_empty_keep_priors,2022,Health,24,1.5696041584014893,0.8448432087898254,14.551470086036716
aurora,default,C10_empty_keep_priors,2022,Health,36,1.6834032535552979,0.9172541499137878,20.665701768011786
aurora,default,C10_empty_keep_priors,2022,Health,48,1.8518508672714233,0.9609369039535522,13.095575191953685
aurora,default,C10_empty_keep_priors,2022,Security,6,67.27811431884766,3.9086451530456543,18.144976034993306
aurora,default,C10_empty_keep_priors,2022,Security,8,70.39215087890625,4.012574672698975,16.027882161026355
aurora,default,C10_empty_keep_priors,2022,Security,10,76.10637664794922,4.24724006652832,10.061620801978279
aurora,default,C10_empty_keep_priors,2022,Security,12,77.72339630126953,4.265194416046143,19.91988705599215
aurora,default,C10_empty_keep_priors,2022,SocialGood,6,0.7038381099700928,0.4406505227088928,17.637052747013513
aurora,default,C10_empty_keep_priors,2022,SocialGood,8,0.8029427528381348,0.48958832025527954,11.86729954299517
aurora,default,C10_empty_keep_priors,2022,SocialGood,10,0.880466639995575,0.53876131772995,21.65446745697409
aurora,default,C10_empty_keep_priors,2022,SocialGood,12,0.9506780505180359,0.5824642777442932,21.200906894984655
aurora,default,C10_empty_keep_priors,2022,Traffic,6,0.1542091965675354,0.2849377989768982,21.581231591000687
aurora,default,C10_empty_keep_priors,2022,Traffic,8,0.15901079773902893,0.28654906153678894,19.58486411999911
aurora,default,C10_empty_keep_priors,2022,Traffic,10,0.16354314982891083,0.28932857513427734,22.864411274029408
aurora,default,C10_empty_keep_priors,2022,Traffic,12,0.16793948411941528,0.29379546642303467,22.347579174034763
aurora,default,C10_empty_keep_priors,2023,Agriculture,6,0.177763432264328,0.29328328371047974,17.247369300981518
aurora,default,C10_empty_keep_priors,2023,Agriculture,8,0.23906849324703217,0.3316269516944885,18.88282292999793
aurora,default,C10_empty_keep_priors,2023,Agriculture,10,0.3152771294116974,0.3760714530944824,20.336077109968755
aurora,default,C10_empty_keep_priors,2023,Agriculture,12,0.36400824785232544,0.3998318314552307,18.179650743026286
aurora,default,C10_empty_keep_priors,2023,Climate,6,0.8635860085487366,0.7482025027275085,20.67297266400419
aurora,default,C10_empty_keep_priors,2023,Climate,8,0.8647432923316956,0.7474169731140137,7.2558732950128615
aurora,default,C10_empty_keep_priors,2023,Climate,10,0.8639888763427734,0.7470332384109497,16.580284679017495
aurora,default,C10_empty_keep_priors,2023,Climate,12,0.8727551102638245,0.751044750213623,7.118188605993055
aurora,default,C10_empty_keep_priors,2023,Economy,6,0.03339942917227745,0.14789989590644836,18.280193278973456
aurora,default,C10_empty_keep_priors,2023,Economy,8,0.03104713372886181,0.14112013578414917,19.020562268968206
aurora,default,C10_empty_keep_priors,2023,Economy,10,0.029247701168060303,0.13642291724681854,18.467175622994546
aurora,default,C10_empty_keep_priors,2023,Economy,12,0.031994812190532684,0.1428249478340149,15.925926834985148
aurora,default,C10_empty_keep_priors,2023,Energy,12,0.11940904706716537,0.2553062438964844,26.75037511001574
aurora,default,C10_empty_keep_priors,2023,Energy,24,0.22780616581439972,0.35432717204093933,23.142456506029703
aurora,default,C10_empty_keep_priors,2023,Energy,36,0.29350417852401733,0.4078523814678192,21.506194820045494
aurora,default,C10_empty_keep_priors,2023,Energy,48,0.3851191997528076,0.47227782011032104,23.428772849030793
aurora,default,C10_empty_keep_priors,2023,Environment,48,0.2805396318435669,0.3795931339263916,61.170753149956
aurora,default,C10_empty_keep_priors,2023,Environment,96,0.2842320501804352,0.38162553310394287,88.55578729900299
aurora,default,C10_empty_keep_priors,2023,Environment,192,0.2701915204524994,0.37516674399375916,107.76890335301869
aurora,default,C10_empty_keep_priors,2023,Environment,336,0.2688842713832855,0.37691590189933777,111.21528368705185
aurora,default,C10_empty_keep_priors,2023,Health,12,1.0932568311691284,0.6682785749435425,24.85039667302044
aurora,default,C10_empty_keep_priors,2023,Health,24,1.5686701536178589,0.8472594618797302,25.189963418000843
aurora,default,C10_empty_keep_priors,2023,Health,36,1.6931886672973633,0.919741690158844,17.660426270973403
aurora,default,C10_empty_keep_priors,2023,Health,48,1.8575471639633179,0.9607142210006714,23.364959927042946
aurora,default,C10_empty_keep_priors,2023,Security,6,67.43460083007812,3.9009387493133545,16.87109957402572
aurora,default,C10_empty_keep_priors,2023,Security,8,70.9427261352539,4.036381244659424,12.75274513399927
aurora,default,C10_empty_keep_priors,2023,Security,10,74.50740051269531,4.167376518249512,17.67765548598254
aurora,default,C10_empty_keep_priors,2023,Security,12,77.77803802490234,4.242273330688477,16.75593005702831
aurora,default,C10_empty_keep_priors,2023,SocialGood,6,0.7027839422225952,0.440973699092865,16.219128372031264
aurora,default,C10_empty_keep_priors,2023,SocialGood,8,0.8082149624824524,0.49627813696861267,22.758510481973644
aurora,default,C10_empty_keep_priors,2023,SocialGood,10,0.8839632272720337,0.5432114005088806,19.96082405402558
aurora,default,C10_empty_keep_priors,2023,SocialGood,12,0.9562011361122131,0.5817598104476929,14.142868483962957
aurora,default,C10_empty_keep_priors,2023,Traffic,6,0.15477542579174042,0.2844698429107666,21.16753997700289
aurora,default,C10_empty_keep_priors,2023,Traffic,8,0.1581467092037201,0.2857872545719147,15.273975631047506
