condition,domain,gradnorm_mean,attn_entropy_rel_mean,attn_max_weight_mean,divergence_mean_sq
C5_constant,Environment,0.011276333333333333,0.9829636666666667,0.150391,0.022731666666666667
C5_constant,Health,0.4020886666666666,0.9736326666666667,0.16236233333333333,0.034201333333333334
C5_constant,Security,0.19205666666666668,0.9826609999999999,0.14610199999999998,0.07692633333333333
C5_constant,SocialGood,0.016562999999999998,0.9691323333333334,0.16302533333333333,0.10240900000000001
C5_constant,Traffic,0.002093,0.9880016666666668,0.14086266666666666,0.001331
C6_unimodal,Agriculture,0.2817433333333333,0.9668709999999999,0.17430866666666667,0.015228666666666666
C6_unimodal,Climate,0.005697333333333333,0.987311,0.1426643333333333,0.025581999999999997
C6_unimodal,Economy,0.11214233333333333,0.96579,0.17473400000000003,0.049690333333333336
C6_unimodal,Energy,0.048368999999999995,0.9645639999999999,0.17123966666666668,0.04523033333333334
C6_unimodal,Environment,0.009131666666666668,0.982751,0.15068266666666666,0.008971
C6_unimodal,Health,0.11589766666666666,0.9729303333333333,0.16330266666666668,0.03651566666666667
C6_unimodal,Security,0.12636466666666665,0.9823400000000001,0.146568,0.06128633333333333
C6_unimodal,SocialGood,0.016644000000000003,0.9686680000000001,0.163698,0.06874633333333334
C6_unimodal,Traffic,0.0011949999999999999,0.9877623333333334,0.14147666666666667,0.0015183333333333333
C8_oracle,Agriculture,0.22205433333333335,0.9669949999999999,0.174396,0.029581
C8_oracle,Climate,0.005384,0.987641,0.14204366666666665,0.023693333333333334
C8_oracle,Economy,0.534209,0.9665316666666666,0.1735796666666667,0.041214
C8_oracle,Energy,0.13872566666666666,0.9659823333333334,0.16921833333333333,0.15968466666666667
C8_oracle,Environment,0.032346,0.9832040000000001,0.14992666666666665,0.005619666666666666
C8_oracle,Health,0.02172666666666667,0.973864,0.16226333333333334,0.02676933333333333
C8_oracle,Security,0.22890366666666664,0.982603,0.14643633333333334,0.04278833333333334
C8_oracle,SocialGood,0.012388999999999999,0.9692236666666667,0.16296533333333332,0.18792033333333333
